mode,samples,strict_accuracy,selective_strict_accuracy,coverage,all_gold_hit_rate,any_gold_hit_rate,wrong_answer_rate,wrong_answer_among_answered,abstention_rate,mean_confidence,ece_strict,conflict_precision,conflict_recall,conflict_f1
basic_rag,500,0.164,0.1667,0.984,0.222,0.782,0.23,0.2337,0.016,0.8401,0.6761,0.0,0.0,0.0
hybrid_rag,500,0.18,0.18,1.0,0.264,0.792,0.312,0.312,0.0,0.8114,0.6314,0.0,0.0,0.0
conflict_aware,500,0.148,0.148,1.0,0.178,0.688,0.196,0.196,0.0,0.4361,0.3045,0.5111,0.9544,0.6657
consensus_rag,500,0.114,0.114,1.0,0.138,0.632,0.192,0.192,0.0,0.4361,0.3234,0.5111,0.9544,0.6657
evidenceguard,500,0.11,0.112,0.982,0.134,0.614,0.192,0.1955,0.018,0.4361,0.3261,0.5111,0.9544,0.6657
